#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,alacritty,"best terminal for ARCH."
A,lf,"is an extensive terminal file manager that everyone likes."
,exa,"ls command alternative."
,ttf-iosevka-nerd,"provides the emoji for exa."
,bc,"is used for a dropdown calculator."
,xcompmgr,"is for transparency and removing screen-tearing."
,xorg-xprop,"is a tool for detecting window properties."
,arandr,"allows the user to customize monitor arrangements."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
,neovim,"a tidier vim with some useful features."
,btop,"is a graphical and colorful system monitor."
,neofetch,"a CLI tool that displays system info."
,mlocate,"a CLI tool to locate files and directories."
,carla,"Live audio plugin host."
,eq10q,"audio plugin."
,dragonfly-reverb,"audio plugin."
,calf,"audio plugin."
,bluez,"bluetooth."
,bluez-utils,"bluetooth support."
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,yt-dlp,"can download any YouTube video (or playlist or channel) when given the link."
,fzf,"is a fuzzy finder tool."
,ueberzug,"CLI util which allows to display images in ytfzf."
A,ytfzf,"watch youtube videos from te terminal(Without API)."
,man-db,"lets you read man pages of programs."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
A,librewolf-bin,"community maintained fork of firefox."
,noto-fonts-emoji,"is an emoji font."
,ntfs-3g,"allows accessing NTFS partitions."
,pipewire,"is the audio system."
,pipewire-pulse,"gives pipewire compatibility with PulseAudio programs."
,pipewire-jack,"JACK support."
,pipewire-alsa,"alsa configuration."
A,pipewire-jack-dropin,"drop-in replacement for JACK."
,gst-plugin-pipewire,"GStreamer plugin."
,wireplumber,"session/policy manager implementation for pipewire."
,pulsemixer,"is an audio controller."
,pamixer,"is a command-line audio interface."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
,maim,"can take quick screenshots at your request."
A,abook,"is an offline addressbook usable by neomutt."
,transmission-cli,"best torrenting tool."
a,tremc-git,"Curses interface for transmission."
,reflector,"A Python 3 module and script to retrieve and filter the latest Pacman mirror list."
,rsync,"a more powerful tool than cp command."
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,highlight,"can highlight code output."
,xorg-xbacklight,"enables changing screen brightness levels."
A,zsh-fast-syntax-highlighting-git,"provides syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
G,https://github.com/eifyn/dwmblocks.git,"serves as the modular status bar."
G,https://github.com/eifyn/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/eifyn/st.git,"is my custom build of suckless's terminal emulator."
G,https://github.com/eifyn/dwm.git,"is the window manager."
A,mutt-wizard-git,"is a light-weight terminal-based email system."
,slock,"allows you to lock your computer, and quickly unlock with your password."
,socat,"is a utility which establishes two byte streams and transfers data between them."
,moreutils,"is a collection of useful unix tools."
